Aggressive,18-25,,,,,,25-35,,,,,,35-45,,,,,,45-55,,,,,,55-65,,,,,,>65,,,,,
Investment Time Horizon,Liquid,Short Term,Income,Balanced,Equity – Mod,Equity – Agg,Liquid,Short Term,Income,Balanced,Equity – Mod,Equity – Agg,Liquid,Short Term,Income,Balanced,Equity – Mod,Equity – Agg,Liquid,Short Term,Income,Balanced,Equity – Mod,Equity – Agg,Liquid,Short Term,Income,Balanced,Equity – Mod,Equity – Agg,Liquid,Short Term,Income,Balanced,Equity – Mod,Equity – Agg
< 3M,100,,,,,,100,,,,,,100,,,,,,100,,,,,,100,,,,,,100,,,,,
< 6M,60,40,,,,,60,40,,,,,60,40,,,,,60,40,,,,,80,20,,,,,100,,,,,
< 1Y,,100,,,,,,100,,,,,20,80,,,,,30,70,,,,,40,60,,,,,50,50,,,,
1,,80,20,,,,,80,20,,,,,80,20,,,,,80,20,,,,,100,,,,,20,80,,,,
2,, ,100,0,,,, ,100,0,,,,,100,0,,,,,100,0,,,,,80,20,,,,,100,0,,
3,,,60,40,,,,,60,40,,,,,60,40,,,,,60,40,,,,,60,40,,,,,80,20,,
4,,,40,60,,,,,40,60,,,,,40,60,,,,,40,60,,,,,40,60,,,,,70,30,,
5,,, ,80,20,,,, ,80,20,,,, ,80,20,,,, ,80,20,,,, ,80,20,,,,60,40,0,
6,,,,60,40,,,,,60,40,,,,,60,40,,,,,60,40,,,,,60,40,,,,40,60,0,
7,,,,40,60,,,,,40,60,,,,,40,60,,,,,40,60,,,,,40,60,,,,20,80,0,
8,,,,,80,20,,,,,80,20,,,,,80,20,,,,20,80,0,,,,30,70,0,,,,100,0,0
9,,,,,70,30,,,,,70,30,,,,,70,30,,,,,80,20,,,,20,80,0,,,,80,20,0
10,,,,,60,40,,,,,60,40,,,,,60,40,,,,,60,40,,,,,100,0,,,,80,20,0
11,,,,,50,50,,,,,50,50,,,,,50,50,,,,,50,50,,,,,100,0,,,,80,20,0
12,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
13,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
14,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
15,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
16,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
17,,,,,40,60,,,,,40,60,,,,,40,60,,,,,50,50,,,,,100, ,,,,80,20, 
