Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,CapCategory,InvestmentRecommendation,AssetAllocation
A,Agilent Technologies,$144.72,2.49,1.751%,41331352105.0,United States,1999.0,1661424,Industrials,Biotechnology: Laboratory Analytical Instruments,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
AA,Alcoa Corporation,$38.91,0.72,1.885%,10052586357.0,United States,2016.0,4881004,Industrials,Aluminum,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
AACG,ATA Creativity,$0.99,-0.04,-3.883%,31680129.0,China,2008.0,11111,Real Estate,Other Consumer Services,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AACT,Ares Acquisition,$10.98,-0.02,-0.182%,0.0,,2023.0,295800,Finance,Blank Checks,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AADI,Aadi Bioscience,$3.13,-0.11,-3.395%,77146337.0,United States,,182073,Health Care,Biotechnology: Pharmaceutical Preparations,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AAL,American Airlines,$18.29,0.22,1.217%,12018925917.0,United States,,22020423,Consumer Discretionary,Air Freight/Delivery Services,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
AAM,AA Mission,$10.12,0.0,0.00%,0.0,,2024.0,11153,,,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AAME,Atlantic American,$1.5023,-0.0177,-1.164%,30646556.0,United States,,2824,Finance,Life Insurance,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AAMI,Acadian Asset,$25.15,0.59,2.402%,938546141.0,United Kingdom,2014.0,142674,Finance,Investment Managers,Small-cap,"High Risk, High Potential Return",Equity – Agg
AAOI,Applied Optoelectronics,$30.88,-0.3,-0.962%,1392014909.0,United States,2013.0,1928038,Technology,Semiconductors,Small-cap,"High Risk, High Potential Return",Equity – Agg
AAON,AAON ,$131.53,1.58,1.216%,10690709076.0,United States,,502150,Industrials,Industrial Machinery/Components,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
AAP,Advance Auto,$45.73,1.36,3.065%,2731659279.0,United States,,1108588,Consumer Discretionary,Auto & Home Supply Stores,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
AAPL,Apple ,$228.26,-9.61,-4.04%,3450337757980.0,United States,1980.0,71602276,Technology,Computer Manufacturing,Mega-cap,"Lowest Risk, Strong Stable Returns",Equity – Mod
AAT,American Assets,$24.71,0.12,0.488%,1504878116.0,United States,2011.0,279124,Real Estate,Real Estate Investment Trusts,Small-cap,"High Risk, High Potential Return",Equity – Agg
AB,AllianceBernstein Holding,$36.77,0.8,2.224%,4171018077.0,United States,,262791,Finance,Investment Managers,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
ABAT,American Battery,$2.02,0.14,7.447%,150533771.0,United States,,5888724,Basic Materials,Metal Mining,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ABBV,AbbVie ,$173.70,2.35,1.371%,306952274105.0,United States,2012.0,5228252,Health Care,Biotechnology: Pharmaceutical Preparations,Mega-cap,"Lowest Risk, Strong Stable Returns",Equity – Mod
ABCB,Ameris Bancorp,$63.82,-0.36,-0.561%,4407838709.0,United States,1994.0,684462,Finance,Major Banks,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
ABCL,AbCellera Biologics,$2.94,-0.02,-0.676%,866316664.0,Canada,2020.0,2993673,Health Care,Pharmaceuticals and Biotechnology,Small-cap,"High Risk, High Potential Return",Equity – Agg
ABEO,Abeona Therapeutics,$5.24,-0.06,-1.132%,227788197.0,United States,,183801,Health Care,Biotechnology: Pharmaceutical Preparations,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ABEV,Ambev S.A.,$1.81,-0.04,-2.162%,28514438244.0,Brazil,2013.0,42350233,Consumer Staples,Beverages (Production/Distribution),Large-cap,"Lower Risk, Stable Returns",Equity – Mod
ABG,Asbury Automotive,$245.36,-4.44,-1.777%,4805978940.0,United States,2002.0,338550,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
ABL,Abacus Life,$7.38,-0.12,-1.60%,551129315.0,United States,2020.0,139379,Finance,Investment Managers,Small-cap,"High Risk, High Potential Return",Equity – Agg
ABLLL,Abacus Life,$26.6401,-0.2999,-1.113%,1988719349.0,United States,,16018,Finance,Investment Managers,Small-cap,"High Risk, High Potential Return",Equity – Agg
ABLLW,Abacus Life,$1.05,0.01,0.962%,78412707.0,United States,2020.0,26619,Finance,Investment Managers,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ABLV,Able View,$1.0174,-0.0626,-5.796%,43096284.0,China,,2137,Consumer Discretionary,Other Consumer Services,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ABLVW,Able View,$0.018,-0.0071,-28.287%,762466.0,China,,266194,Consumer Discretionary,Other Consumer Services,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ABM,ABM Industries,$53.37,0.42,0.793%,3319793910.0,United States,,210753,Finance,Diversified Commercial Services,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
ABNB,Airbnb ,$132.16,-0.36,-0.272%,83785691942.0,United States,2020.0,2904756,Finance,Diversified Commercial Services,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
ABOS,Acumen Pharmaceuticals,$1.61,-0.1,-5.848%,96728443.0,United States,2021.0,305388,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ABP,Abpro Holdings,$1.35,0.01,0.746%,69550117.0,United States,2022.0,15132,Health Care,Biotechnology: Pharmaceutical Preparations,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ABPWW,Abpro Holdings,$0.0625,-0.0028,-4.288%,3219913.0,United States,2022.0,11375,Health Care,Biotechnology: Pharmaceutical Preparations,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ABR,Arbor Realty,$13.60,-0.03,-0.22%,2565079367.0,United States,2004.0,2104694,Real Estate,Real Estate Investment Trusts,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
ABR^D,Arbor Realty,$18.40,-0.1,-0.541%,,United States,,18072,,,Mega-cap,"Lowest Risk, Strong Stable Returns",Equity – Mod
ABR^E,Arbor Realty,$18.18,-0.113,-0.618%,,United States,,4935,,,Mega-cap,"Lowest Risk, Strong Stable Returns",Equity – Mod
ABR^F,Arbor Realty,$22.1905,0.0105,0.047%,,United States,,20102,,,Mega-cap,"Lowest Risk, Strong Stable Returns",Equity – Mod
ABSI,Absci Corporation,$2.80,-0.06,-2.098%,321596125.0,United States,2021.0,2560137,Health Care,Biotechnology: Commercial Physical & Biological Resarch,Small-cap,"High Risk, High Potential Return",Equity – Agg
ABT,Abbott Laboratories,$113.91,2.81,2.529%,197571793313.0,United States,,5595972,Health Care,Biotechnology: Pharmaceutical Preparations,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
ABTS,Abits Group,$0.5099,0.0198,4.04%,18129330.0,China,,58757,Technology,Computer Software: Programming Data Processing,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ABUS,Arbutus Biopharma,$3.22,-0.06,-1.829%,610163226.0,Canada,,721278,Health Care,Biotechnology: Pharmaceutical Preparations,Small-cap,"High Risk, High Potential Return",Equity – Agg
ABVC,ABVC BioPharma,$0.5511,0.0061,1.119%,7150794.0,United States,,114094,Health Care,Biotechnology: Pharmaceutical Preparations,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ABVE,Above Food,$0.60,0.087,16.959%,16682764.0,Canada,,648554,Consumer Staples,Packaged Foods,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ABVEW,Above Food,$0.0245,0.0026,11.872%,681213.0,Canada,,13042,Consumer Staples,Packaged Foods,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ABVX,Abivax SA,$6.23,-0.06,-0.954%,391975894.0,France,2023.0,39729,Health Care,Biotechnology: Pharmaceutical Preparations,Small-cap,"High Risk, High Potential Return",Equity – Agg
AC,Associated Capital,$35.26,0.02,0.057%,748821380.0,United States,2015.0,6235,Finance,Investment Bankers/Brokers/Service,Small-cap,"High Risk, High Potential Return",Equity – Agg
ACA,Arcosa ,$97.02,-1.07,-1.091%,4732326882.0,United States,2018.0,180045,Industrials,Metal Fabrications,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
ACAD,ACADIA Pharmaceuticals,$17.52,0.01,0.057%,2915185930.0,United States,1985.0,1514682,Health Care,Biotechnology: Pharmaceutical Preparations,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
ACB,Aurora Cannabis,$3.96,-0.01,-0.252%,216456677.0,Canada,,664420,Health Care, Medicinal Chemicals and Botanical Products ,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ACCD,Accolade ,$6.86,0.005,0.073%,559676585.0,United States,2020.0,2229537,Consumer Discretionary,Business Services,Small-cap,"High Risk, High Potential Return",Equity – Agg
ACCO,Acco Brands,$5.21,0.03,0.579%,483910052.0,United States,,577544,Consumer Discretionary,Publishing,Small-cap,"High Risk, High Potential Return",Equity – Agg
ACDC,ProFrac Holding,$9.22,0.25,2.787%,1476551670.0,United States,2022.0,435820,Energy,Oilfield Services/Equipment,Small-cap,"High Risk, High Potential Return",Equity – Agg
ACEL,Accel Entertainment,$10.63,-0.01,-0.094%,875310948.0,United States,2017.0,127687,Consumer Discretionary,Services-Misc. Amusement & Recreation,Small-cap,"High Risk, High Potential Return",Equity – Agg
ACET,Adicet Bio,$0.9196,-0.0103,-1.108%,75775923.0,United States,2018.0,217322,Health Care,Biotechnology: Pharmaceutical Preparations,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ACGL,Arch Capital,$96.10,2.48,2.649%,36156844572.0,Bermuda,,1847181,Finance,Property-Casualty Insurers,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
ACGLN,Arch Capital,$18.41,0.25,1.377%,6926612992.0,Bermuda,,71984,Finance,Property-Casualty Insurers,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
ACGLO,Arch Capital,$21.58,0.255,1.196%,8119299749.0,Bermuda,,29515,Finance,Property-Casualty Insurers,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
ACHC,Acadia Healthcare,$41.95,-1.09,-2.533%,3896540516.0,United States,,1267396,Health Care,Medical Specialities,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
ACHL,Achilles Therapeutics,$1.15,-0.01,-0.862%,47245390.0,United Kingdom,2021.0,64025,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ACHR,Archer Aviation,$9.09,0.3,3.413%,3865728598.0,United States,2020.0,26008946,Industrials,Aerospace,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
ACHV,Achieve Life,$3.07,-0.21,-6.402%,105577134.0,United States,,217738,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ACI,Albertsons Companies,$20.20,-0.22,-1.077%,11703462405.0,United States,2020.0,5637353,Consumer Staples,Food Chains,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
ACIC,American Coastal,$12.09,-0.3,-2.421%,582797991.0,United States,,121854,Finance,Property-Casualty Insurers,Small-cap,"High Risk, High Potential Return",Equity – Agg
ACIU,AC Immune,$2.64,-0.04,-1.493%,261882269.0,Switzerland,2016.0,224004,Health Care,Biotechnology: Pharmaceutical Preparations,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ACIW,ACI Worldwide,$54.34,0.86,1.608%,5699648806.0,United States,,876358,Technology,Computer Software: Prepackaged Software,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
ACLS,Axcelis Technologies,$71.98,0.21,0.293%,2339789870.0,United States,2000.0,415198,Technology,Industrial Machinery/Components,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
