title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,overall_sentiment_score,overall_sentiment_label,topic_Economy - Monetary,topic_Financial Markets,topic_Manufacturing,topic_Technology,topic_Finance,ticker,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label,topic_Earnings,topic_Life Sciences,topic_Retail & Wholesale,topic_Energy & Transportation,topic_IPO,topic_Economy - Fiscal,topic_Mergers & Acquisitions,topic_Real Estate & Construction,topic_Blockchain,topic_Economy - Macro
"Direction Of Stock Market Depends Upon Trump's Speech, Musk Throws Cold Water On AI Stargate - Bank of America  ( NYSE:BAC ) , Blackstone  ( NYSE:BX ) ",https://www.benzinga.com/trading-ideas/25/01/43168057/direction-of-stock-market-depends-upon-trumps-speech-musk-throws-cold-water-on-ai-stargate,2025-01-23 16:55:45,The Arora Report,"To gain an edge, this is what you need to know today. An enlarged chart of VanEck Semiconductor ETF SMH. The chart shows yesterday semiconductor stocks attempted to break above the micro resistance zone on Stargate excitement. The chart shows semiconductor stocks have pulled back to the top of ...",https://contributor-assets.benzinga.com/wp-content/uploads/2025/01/23165334/image-13-1024x597.png,Benzinga,Trading,www.benzinga.com,0.199122,Somewhat-Bullish,0.310843,0.999986,0.333333,0.333333,0.333333,MSFT,0.03642,-0.245916,Somewhat-Bearish,,,,,,,,,,
"Direction Of Stock Market Depends Upon Trump's Speech, Musk Throws Cold Water On AI Stargate - Bank of America  ( NYSE:BAC ) , Blackstone  ( NYSE:BX ) ",https://www.benzinga.com/trading-ideas/25/01/43168057/direction-of-stock-market-depends-upon-trumps-speech-musk-throws-cold-water-on-ai-stargate,2025-01-23 16:55:45,The Arora Report,"To gain an edge, this is what you need to know today. An enlarged chart of VanEck Semiconductor ETF SMH. The chart shows yesterday semiconductor stocks attempted to break above the micro resistance zone on Stargate excitement. The chart shows semiconductor stocks have pulled back to the top of ...",https://contributor-assets.benzinga.com/wp-content/uploads/2025/01/23165334/image-13-1024x597.png,Benzinga,Trading,www.benzinga.com,0.199122,Somewhat-Bullish,0.310843,0.999986,0.333333,0.333333,0.333333,GOOG,0.03642,0.0,Neutral,,,,,,,,,,
"Direction Of Stock Market Depends Upon Trump's Speech, Musk Throws Cold Water On AI Stargate - Bank of America  ( NYSE:BAC ) , Blackstone  ( NYSE:BX ) ",https://www.benzinga.com/trading-ideas/25/01/43168057/direction-of-stock-market-depends-upon-trumps-speech-musk-throws-cold-water-on-ai-stargate,2025-01-23 16:55:45,The Arora Report,"To gain an edge, this is what you need to know today. An enlarged chart of VanEck Semiconductor ETF SMH. The chart shows yesterday semiconductor stocks attempted to break above the micro resistance zone on Stargate excitement. The chart shows semiconductor stocks have pulled back to the top of ...",https://contributor-assets.benzinga.com/wp-content/uploads/2025/01/23165334/image-13-1024x597.png,Benzinga,Trading,www.benzinga.com,0.199122,Somewhat-Bullish,0.310843,0.999986,0.333333,0.333333,0.333333,META,0.03642,0.240918,Somewhat-Bullish,,,,,,,,,,
"Direction Of Stock Market Depends Upon Trump's Speech, Musk Throws Cold Water On AI Stargate - Bank of America  ( NYSE:BAC ) , Blackstone  ( NYSE:BX ) ",https://www.benzinga.com/trading-ideas/25/01/43168057/direction-of-stock-market-depends-upon-trumps-speech-musk-throws-cold-water-on-ai-stargate,2025-01-23 16:55:45,The Arora Report,"To gain an edge, this is what you need to know today. An enlarged chart of VanEck Semiconductor ETF SMH. The chart shows yesterday semiconductor stocks attempted to break above the micro resistance zone on Stargate excitement. The chart shows semiconductor stocks have pulled back to the top of ...",https://contributor-assets.benzinga.com/wp-content/uploads/2025/01/23165334/image-13-1024x597.png,Benzinga,Trading,www.benzinga.com,0.199122,Somewhat-Bullish,0.310843,0.999986,0.333333,0.333333,0.333333,NVDA,0.03642,-0.245916,Somewhat-Bearish,,,,,,,,,,
"Direction Of Stock Market Depends Upon Trump's Speech, Musk Throws Cold Water On AI Stargate - Bank of America  ( NYSE:BAC ) , Blackstone  ( NYSE:BX ) ",https://www.benzinga.com/trading-ideas/25/01/43168057/direction-of-stock-market-depends-upon-trumps-speech-musk-throws-cold-water-on-ai-stargate,2025-01-23 16:55:45,The Arora Report,"To gain an edge, this is what you need to know today. An enlarged chart of VanEck Semiconductor ETF SMH. The chart shows yesterday semiconductor stocks attempted to break above the micro resistance zone on Stargate excitement. The chart shows semiconductor stocks have pulled back to the top of ...",https://contributor-assets.benzinga.com/wp-content/uploads/2025/01/23165334/image-13-1024x597.png,Benzinga,Trading,www.benzinga.com,0.199122,Somewhat-Bullish,0.310843,0.999986,0.333333,0.333333,0.333333,AAPL,0.03642,0.240918,Somewhat-Bullish,,,,,,,,,,
"Direction Of Stock Market Depends Upon Trump's Speech, Musk Throws Cold Water On AI Stargate - Bank of America  ( NYSE:BAC ) , Blackstone  ( NYSE:BX ) ",https://www.benzinga.com/trading-ideas/25/01/43168057/direction-of-stock-market-depends-upon-trumps-speech-musk-throws-cold-water-on-ai-stargate,2025-01-23 16:55:45,The Arora Report,"To gain an edge, this is what you need to know today. An enlarged chart of VanEck Semiconductor ETF SMH. The chart shows yesterday semiconductor stocks attempted to break above the micro resistance zone on Stargate excitement. The chart shows semiconductor stocks have pulled back to the top of ...",https://contributor-assets.benzinga.com/wp-content/uploads/2025/01/23165334/image-13-1024x597.png,Benzinga,Trading,www.benzinga.com,0.199122,Somewhat-Bullish,0.310843,0.999986,0.333333,0.333333,0.333333,TSLA,0.03642,0.0,Neutral,,,,,,,,,,
"Direction Of Stock Market Depends Upon Trump's Speech, Musk Throws Cold Water On AI Stargate - Bank of America  ( NYSE:BAC ) , Blackstone  ( NYSE:BX ) ",https://www.benzinga.com/trading-ideas/25/01/43168057/direction-of-stock-market-depends-upon-trumps-speech-musk-throws-cold-water-on-ai-stargate,2025-01-23 16:55:45,The Arora Report,"To gain an edge, this is what you need to know today. An enlarged chart of VanEck Semiconductor ETF SMH. The chart shows yesterday semiconductor stocks attempted to break above the micro resistance zone on Stargate excitement. The chart shows semiconductor stocks have pulled back to the top of ...",https://contributor-assets.benzinga.com/wp-content/uploads/2025/01/23165334/image-13-1024x597.png,Benzinga,Trading,www.benzinga.com,0.199122,Somewhat-Bullish,0.310843,0.999986,0.333333,0.333333,0.333333,BAC,0.072765,0.118884,Neutral,,,,,,,,,,
"Direction Of Stock Market Depends Upon Trump's Speech, Musk Throws Cold Water On AI Stargate - Bank of America  ( NYSE:BAC ) , Blackstone  ( NYSE:BX ) ",https://www.benzinga.com/trading-ideas/25/01/43168057/direction-of-stock-market-depends-upon-trumps-speech-musk-throws-cold-water-on-ai-stargate,2025-01-23 16:55:45,The Arora Report,"To gain an edge, this is what you need to know today. An enlarged chart of VanEck Semiconductor ETF SMH. The chart shows yesterday semiconductor stocks attempted to break above the micro resistance zone on Stargate excitement. The chart shows semiconductor stocks have pulled back to the top of ...",https://contributor-assets.benzinga.com/wp-content/uploads/2025/01/23165334/image-13-1024x597.png,Benzinga,Trading,www.benzinga.com,0.199122,Somewhat-Bullish,0.310843,0.999986,0.333333,0.333333,0.333333,BX,0.072765,0.118884,Neutral,,,,,,,,,,
"Direction Of Stock Market Depends Upon Trump's Speech, Musk Throws Cold Water On AI Stargate - Bank of America  ( NYSE:BAC ) , Blackstone  ( NYSE:BX ) ",https://www.benzinga.com/trading-ideas/25/01/43168057/direction-of-stock-market-depends-upon-trumps-speech-musk-throws-cold-water-on-ai-stargate,2025-01-23 16:55:45,The Arora Report,"To gain an edge, this is what you need to know today. An enlarged chart of VanEck Semiconductor ETF SMH. The chart shows yesterday semiconductor stocks attempted to break above the micro resistance zone on Stargate excitement. The chart shows semiconductor stocks have pulled back to the top of ...",https://contributor-assets.benzinga.com/wp-content/uploads/2025/01/23165334/image-13-1024x597.png,Benzinga,Trading,www.benzinga.com,0.199122,Somewhat-Bullish,0.310843,0.999986,0.333333,0.333333,0.333333,IVZ,0.03642,0.105703,Neutral,,,,,,,,,,
"Samsung Taps Google AI, Qualcomm Tech for Galaxy S25 to Rival Apple's iPhone - Samsung Electronics Co  ( OTC:SSNLF ) , Alphabet  ( NASDAQ:GOOGL ) , Qualcomm  ( NASDAQ:QCOM ) ",https://www.benzinga.com/25/01/43165472/samsung-taps-google-ai-qualcomm-tech-for-galaxy-s25-to-rival-apples-iphone,2025-01-23 15:48:27,Anusuya Lahiri,"Samsung unveils Galaxy S25 series with Qualcomm chips and AI-powered by Google's Gemini, starting at $799. Galaxy S25 Edge launches in 2025, focusing on AI personalization to compete with Apple's iPhone 17 Air.",https://cdn.benzinga.com/files/images/story/2025/01/23/Samsung-S25.png?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,0.152345,Somewhat-Bullish,,0.108179,0.5,0.5,,SSNLF,0.756001,0.151098,Somewhat-Bullish,,,,,,,,,,
