title,url,time_published,overall_sentiment_score,overall_sentiment_label,relevance_score,topic_Economy - Monetary_relevance,topic_Economy - Monetary_sentiment_label,topic_Financial Markets_relevance,topic_Financial Markets_sentiment_label,topic_Technology_relevance,topic_Technology_sentiment_label,topic_Blockchain_relevance,topic_Blockchain_sentiment_label,ticker,ticker_sentiment_score,ticker_sentiment_label,ticker_relevance_score,topic_Earnings_relevance,topic_Earnings_sentiment_label,topic_Manufacturing_relevance,topic_Manufacturing_sentiment_label,topic_Retail & Wholesale_relevance,topic_Retail & Wholesale_sentiment_label,topic_Energy & Transportation_relevance,topic_Energy & Transportation_sentiment_label,topic_Real Estate & Construction_relevance,topic_Real Estate & Construction_sentiment_label,topic_Finance_relevance,topic_Finance_sentiment_label,topic_Economy - Fiscal_relevance,topic_Economy - Fiscal_sentiment_label,topic_Economy - Macro_relevance,topic_Economy - Macro_sentiment_label,topic_Life Sciences_relevance,topic_Life Sciences_sentiment_label,topic_IPO_relevance,topic_IPO_sentiment_label
"MicroStrategy Buys the Top, Adding $1.1 Billion in Bitcoin Ahead of Price Plunge",https://decrypt.co/302894/microstrategy-buys-1-1-billion-bitcoin-price-plunge,20250127T162940,0.187391,Somewhat-Bullish,,0.158519,Somewhat-Bullish,0.858979,Bullish,1.0,Bullish,0.310843,Somewhat-Bullish,MSFT,0.234481,Somewhat-Bullish,0.135347,,,,,,,,,,,,,,,,,,,,
"MicroStrategy Buys the Top, Adding $1.1 Billion in Bitcoin Ahead of Price Plunge",https://decrypt.co/302894/microstrategy-buys-1-1-billion-bitcoin-price-plunge,20250127T162940,0.187391,Somewhat-Bullish,,0.158519,Somewhat-Bullish,0.858979,Bullish,1.0,Bullish,0.310843,Somewhat-Bullish,MSTR,0.197285,Somewhat-Bullish,0.605937,,,,,,,,,,,,,,,,,,,,
"MicroStrategy Buys the Top, Adding $1.1 Billion in Bitcoin Ahead of Price Plunge",https://decrypt.co/302894/microstrategy-buys-1-1-billion-bitcoin-price-plunge,20250127T162940,0.187391,Somewhat-Bullish,,0.158519,Somewhat-Bullish,0.858979,Bullish,1.0,Bullish,0.310843,Somewhat-Bullish,CRYPTO:BTC,0.301994,Somewhat-Bullish,0.911721,,,,,,,,,,,,,,,,,,,,
What's Going On With Tevogen Bio Stock Today? - Tevogen Bio Holdings  ( NASDAQ:TVGN ) ,https://www.benzinga.com/25/01/43237586/whats-going-on-with-tevogen-bio-stock-today,20250127T153507,0.237792,Somewhat-Bullish,,,,0.108179,Neutral,1.0,Bullish,,,MSFT,0.425359,Bullish,0.570165,,,,,,,,,,,,,,,,,,,,
What's Going On With Tevogen Bio Stock Today? - Tevogen Bio Holdings  ( NASDAQ:TVGN ) ,https://www.benzinga.com/25/01/43237586/whats-going-on-with-tevogen-bio-stock-today,20250127T153507,0.237792,Somewhat-Bullish,,,,0.108179,Neutral,1.0,Bullish,,,TVGN,0.322371,Somewhat-Bullish,0.730954,,,,,,,,,,,,,,,,,,,,
"Live Streaming Market to grow by USD 20.64 Billion  ( 2025-2029 ) , driven by smartphone penetration and easy internet access, AI-powered market evolution - Technavio",https://www.benzinga.com/pressreleases/25/01/n43237193/live-streaming-market-to-grow-by-usd-20-64-billion-2025-2029-driven-by-smartphone-penetration-and-,20250127T152900,0.340768,Somewhat-Bullish,,,,0.360215,Bullish,1.0,Bullish,0.158519,Somewhat-Bullish,MSFT,0.098508,Neutral,0.02379,,,,,,,,,,,,,,,,,,,,
"Live Streaming Market to grow by USD 20.64 Billion  ( 2025-2029 ) , driven by smartphone penetration and easy internet access, AI-powered market evolution - Technavio",https://www.benzinga.com/pressreleases/25/01/n43237193/live-streaming-market-to-grow-by-usd-20-64-billion-2025-2029-driven-by-smartphone-penetration-and-,20250127T152900,0.340768,Somewhat-Bullish,,,,0.360215,Bullish,1.0,Bullish,0.158519,Somewhat-Bullish,GOOG,0.209708,Somewhat-Bullish,0.047559,,,,,,,,,,,,,,,,,,,,
"Live Streaming Market to grow by USD 20.64 Billion  ( 2025-2029 ) , driven by smartphone penetration and easy internet access, AI-powered market evolution - Technavio",https://www.benzinga.com/pressreleases/25/01/n43237193/live-streaming-market-to-grow-by-usd-20-64-billion-2025-2029-driven-by-smartphone-penetration-and-,20250127T152900,0.340768,Somewhat-Bullish,,,,0.360215,Bullish,1.0,Bullish,0.158519,Somewhat-Bullish,META,0.098508,Neutral,0.02379,,,,,,,,,,,,,,,,,,,,
"Live Streaming Market to grow by USD 20.64 Billion  ( 2025-2029 ) , driven by smartphone penetration and easy internet access, AI-powered market evolution - Technavio",https://www.benzinga.com/pressreleases/25/01/n43237193/live-streaming-market-to-grow-by-usd-20-64-billion-2025-2029-driven-by-smartphone-penetration-and-,20250127T152900,0.340768,Somewhat-Bullish,,,,0.360215,Bullish,1.0,Bullish,0.158519,Somewhat-Bullish,TVBCF,0.138019,Neutral,0.071286,,,,,,,,,,,,,,,,,,,,
"Live Streaming Market to grow by USD 20.64 Billion  ( 2025-2029 ) , driven by smartphone penetration and easy internet access, AI-powered market evolution - Technavio",https://www.benzinga.com/pressreleases/25/01/n43237193/live-streaming-market-to-grow-by-usd-20-64-billion-2025-2029-driven-by-smartphone-penetration-and-,20250127T152900,0.340768,Somewhat-Bullish,,,,0.360215,Bullish,1.0,Bullish,0.158519,Somewhat-Bullish,HAIVF,0.098508,Neutral,0.02379,,,,,,,,,,,,,,,,,,,,
