Age Group,Investment Time Horizon,Risk Type,Allocation
18-25,< 3M,Liquid,100.0
18-25,< 6M,Liquid,60.0
18-25,< 1Y,Liquid,
18-25,1,Liquid,
18-25,2,Liquid,
18-25,3,Liquid,
18-25,4,Liquid,
18-25,5,Liquid,
18-25,6,Liquid,
18-25,7,Liquid,
18-25,8,Liquid,
18-25,9,Liquid,
18-25,10,Liquid,
18-25,11,Liquid,
18-25,12,Liquid,
18-25,13,Liquid,
18-25,14,Liquid,
18-25,15,Liquid,
18-25,16,Liquid,
18-25,17,Liquid,
18-25,18,Liquid,
18-25,19,Liquid,
18-25,20,Liquid,
18-25,21,Liquid,
18-25,22,Liquid,
18-25,23,Liquid,
18-25,24,Liquid,
18-25,25,Liquid,
18-25,26,Liquid,
18-25,27,Liquid,
18-25,28,Liquid,
18-25,29,Liquid,
18-25,30,Liquid,
18-25,31,Liquid,
18-25,32,Liquid,
18-25,33,Liquid,
18-25,34,Liquid,
18-25,35,Liquid,
18-25,36,Liquid,
18-25,37,Liquid,
18-25,38,Liquid,
18-25,39,Liquid,
18-25,40,Liquid,
18-25,41,Liquid,
18-25,42,Liquid,
18-25,43,Liquid,
18-25,44,Liquid,
18-25,45,Liquid,
18-25,46,Liquid,
18-25,47,Liquid,
18-25,48,Liquid,
18-25,49,Liquid,
18-25,50,Liquid,
18-25,< 3M,Short Term,
18-25,< 6M,Short Term,40
18-25,< 1Y,Short Term,100
18-25,1,Short Term,80
18-25,2,Short Term, 
18-25,3,Short Term,
18-25,4,Short Term,
18-25,5,Short Term,
18-25,6,Short Term,
18-25,7,Short Term,
18-25,8,Short Term,
18-25,9,Short Term,
18-25,10,Short Term,
18-25,11,Short Term,
18-25,12,Short Term,
18-25,13,Short Term,
18-25,14,Short Term,
18-25,15,Short Term,
18-25,16,Short Term,
18-25,17,Short Term,
18-25,18,Short Term,
18-25,19,Short Term,
18-25,20,Short Term,
18-25,21,Short Term,
18-25,22,Short Term,
18-25,23,Short Term,
18-25,24,Short Term,
18-25,25,Short Term,
18-25,26,Short Term,
18-25,27,Short Term,
18-25,28,Short Term,
18-25,29,Short Term,
18-25,30,Short Term,
18-25,31,Short Term,
18-25,32,Short Term,
18-25,33,Short Term,
18-25,34,Short Term,
18-25,35,Short Term,
18-25,36,Short Term,
18-25,37,Short Term,
18-25,38,Short Term,
18-25,39,Short Term,
18-25,40,Short Term,
18-25,41,Short Term,
18-25,42,Short Term,
18-25,43,Short Term,
18-25,44,Short Term,
18-25,45,Short Term,
18-25,46,Short Term,
18-25,47,Short Term,
18-25,48,Short Term,
18-25,49,Short Term,
18-25,50,Short Term,
18-25,< 3M,Income,
