ticker,ticker_sentiment_score,ticker_relevance_score,ticker_sentiment_label
AAPL,0.13828015999999999,0.29723546,Neutral
ADBE,0.04044,0.022452,Neutral
ALC,0.005334,0.228431,Neutral
AMD,0.0,0.07031,Neutral
AMZN,0.213401,0.077468,Somewhat-Bullish
ANET,0.161215,0.488007,Somewhat-Bullish
AVB,-0.110498,0.228431,Neutral
AVGO,0.12929266666666667,0.13333566666666666,Neutral
AWON,0.233615,0.104228,Somewhat-Bullish
AXON,0.136852,0.135602,Neutral
AXP,0.243305,0.167902,Somewhat-Bullish
BA,0.0,0.042876,Neutral
BAC,0.0792765,0.126464,Neutral
BBWI,0.30535,0.228431,Somewhat-Bullish
BIDU,-0.056564,0.042876,Neutral
BRK-A,0.191229,0.1926098,Somewhat-Bullish
BRO,0.062003,0.06171,Neutral
C,0.00264,0.15347,Neutral
CCZ,0.0,0.042876,Neutral
CRYPTO:BTC,-0.01414,0.109206,Neutral
CVX,0.297945,0.294446,Somewhat-Bullish
DIS,0.107158,0.021237,Neutral
DKNG,0.327842,0.043499,Somewhat-Bullish
DNACF,0.107158,0.021237,Neutral
DSSMY,0.037539,0.045396,Neutral
EA,0.0736905,0.1445205,Neutral
EDU,0.00264,0.15347,Neutral
FOREX:USD,0.11862149999999999,0.034829,Neutral
GOLD,0.271895,0.433877,Somewhat-Bullish
GOOG,0.07009305555555555,0.1484318888888889,Neutral
GS,0.088841,0.195814,Neutral
HPQ,0.093077,0.048621,Neutral
HSHCY,0.0,0.023673,Neutral
HWH,-0.057002,0.06171,Neutral
IP,0.0,0.042876,Neutral
IVZ,-0.023932,0.042805,Neutral
KO,0.226678,0.294446,Somewhat-Bullish
LGTY,0.158069,0.06171,Somewhat-Bullish
LNVGF,0.044562,0.024322,Neutral
LUV,0.0,0.042876,Neutral
LYTS,0.090852,0.228431,Neutral
MA,0.077766,0.15347,Neutral
META,0.09497549999999999,0.1709155,Neutral
MRVL,0.16102349999999999,0.17257499999999998,Somewhat-Bullish
MS,-0.082666,0.15347,Neutral
MSFT,0.050163428571428574,0.115034,Neutral
MU,0.105786,0.09439,Neutral
NCBDF,0.107158,0.021237,Neutral
NFLX,0.1828835,0.1631905,Somewhat-Bullish
NIO,-0.01189,0.318074,Neutral
NTDOF,0.107158,0.021237,Neutral
NTES,0.107158,0.021237,Neutral
NUE,0.075006,0.06171,Neutral
NVDA,0.09537875,0.2232414375,Neutral
ORCL,0.026643000000000003,0.2612936666666667,Neutral
PCRFF,0.0,0.023673,Neutral
PTC,0.044562,0.024322,Neutral
PYPL,-0.136409,0.127456,Neutral
QCOM,0.122652,0.167904,Neutral
RCAT,0.134384,0.377142,Neutral
RGTI,0.17051,0.277958,Somewhat-Bullish
SANM,0.081008,0.06171,Neutral
SBUX,0.0,0.042876,Neutral
SEKEF,0.044562,0.024322,Neutral
SFTBF,0.185331,0.187463,Somewhat-Bullish
SHCAF,0.0,0.023673,Neutral
SNAP,0.190658,0.121343,Somewhat-Bullish
SNEJF,0.071404,0.0342805,Neutral
SONG,0.166496,0.022452,Somewhat-Bullish
SPGI,0.032606,0.030878,Neutral
SQNXF,0.107158,0.021237,Neutral
SSNLF,0.09697725,0.15563100000000002,Neutral
SWDHF,0.0,0.023673,Neutral
T,0.057572,0.030878,Neutral
TCTZF,-0.026345333333333342,0.058154333333333336,Neutral
TEAM,0.084758,0.15347,Neutral
TRV,0.14706,0.15347,Neutral
TSLA,0.03925928571428572,0.2377322857142857,Neutral
TSM,0.0727,0.153553,Neutral
TVGN,0.0,0.06171,Neutral
UBSFF,0.107158,0.021237,Neutral
UNH,0.065831,0.054857,Neutral
VUZI,0.044562,0.024322,Neutral
WMT,0.11875,0.043499,Neutral
WT,0.238124,0.284861,Somewhat-Bullish
XIACY,0.0,0.023673,Neutral
YAMCF,0.04044,0.022452,Neutral
