ticker,ticker_sentiment_score,ticker_relevance_score,ticker_sentiment_label
AAPL,0.14741433333333334,0.17454611111111112,Neutral
ACN,0.038732,0.095517,Neutral
ACON,-0.039353,0.204072,Neutral
ALUR,0.075467,0.204072,Neutral
AMD,0.079294,0.1925995,Neutral
AMZN,0.1341916,0.3507982,Neutral
APG,0.1427305,0.041666,Neutral
ARM,0.1422425,0.0983545,Neutral
ASST,0.189736,0.136888,Somewhat-Bullish
AVBP,-0.074473,0.204072,Neutral
AVGO,-0.0634436,0.148449,Neutral
AZN,0.044076,0.067347,Neutral
BCOV,0.098508,0.02379,Neutral
BKNG,0.077849,0.069495,Neutral
BRK-A,0.094521,0.0847775,Neutral
BRO,0.062003,0.06171,Neutral
CEG,-0.163616,0.152499,Somewhat-Bearish
CNOB,0.153802,0.204072,Somewhat-Bullish
CRYPTO:BTC,0.06721849999999999,0.590155,Neutral
CRYPTO:DOGE,0.3760445,0.397525,Bullish
CVX,-0.041996,0.101797,Neutral
CYBR,0.161101,0.229149,Somewhat-Bullish
DOCN,0.384734,0.502693,Bullish
DSSMY,-0.092116,0.043818,Neutral
DVN,-0.041996,0.101797,Neutral
EA,0.040223,0.267804,Neutral
FOREX:USD,0.088824,0.030878,Neutral
GEV,0.227838,0.436009,Somewhat-Bullish
GOOG,0.07952334782608696,0.16578404347826087,Neutral
GS,0.123667,0.140896,Neutral
HAIVF,0.098508,0.02379,Neutral
HPQ,0.07461899999999999,0.053334,Neutral
HSTM,0.237052,0.136888,Somewhat-Bullish
HTHIF,0.087975,0.047844,Neutral
HWH,-0.0171885,0.132891,Neutral
IBM,0.098508,0.02379,Neutral
INTC,0.044539,0.33628,Neutral
IONQ,0.100971,0.445848,Neutral
IPHA,0.424399,0.204072,Bullish
IVZ,0.054283,0.0409405,Neutral
JG,0.149234,0.240489,Neutral
KC,-0.143597,0.136888,Neutral
KSFTF,-0.119438,0.068698,Neutral
KT,0.062887,0.095517,Neutral
LGTY,0.193317,0.132891,Somewhat-Bullish
LNVGF,0.044562,0.024322,Neutral
MBX,-0.132676,0.136888,Neutral
MCO,0.208139,0.062843,Somewhat-Bullish
MDXG,-0.080364,0.136888,Neutral
META,0.064944,0.15596876470588236,Neutral
MSFT,0.08811726,0.16819520000000002,Neutral
MSTR,0.197285,0.605937,Somewhat-Bullish
MU,0.035961,0.255641,Neutral
MULN,0.118123,0.136888,Neutral
NFLX,0.077849,0.069495,Neutral
NUE,0.075006,0.06171,Neutral
NVDA,0.09757782608695652,0.29200260869565214,Neutral
ONCO,0.0,0.136888,Neutral
ORCL,0.20296,0.157674,Somewhat-Bullish
PANW,0.056161,0.058047,Neutral
PINS,0.046381,0.042048,Neutral
PLTR,0.14533,0.13347,Neutral
PTC,0.044562,0.024322,Neutral
PUBM,0.257895,0.458708,Somewhat-Bullish
PXLW,0.296261,0.136888,Somewhat-Bullish
QCOM,0.1537345,0.192062,Somewhat-Bullish
RMBI,0.049299,0.136888,Neutral
RNWK,0.135997,0.02379,Neutral
RZLV,0.219804,0.047844,Somewhat-Bullish
SANM,0.081008,0.06171,Neutral
SEKEF,0.044562,0.024322,Neutral
SFTBF,0.0783005,0.048412250000000004,Neutral
SMCI,-0.049752,0.255641,Neutral
SPGI,0.038175,0.1011815,Neutral
SSNLF,0.022281,0.10239100000000001,Neutral
SSTK,0.0,0.086245,Neutral
SVYSF,0.231735,0.05257,Somewhat-Bullish
SZIHF,-0.133845,0.086245,Neutral
T,0.057572,0.030878,Neutral
TCTZF,0.098508,0.02379,Neutral
TJX,0.077849,0.069495,Neutral
TSLA,-0.08625242857142858,0.15383557142857146,Neutral
TSM,-0.024876,0.2017295,Neutral
TTE,-0.041996,0.101797,Neutral
TVBCF,0.138019,0.071286,Neutral
TVGN,0.150065,0.30985066666666666,Somewhat-Bullish
UNH,0.065831,0.054857,Neutral
VEEV,0.375291,0.20997,Bullish
VINC,-0.213139,0.204072,Somewhat-Bearish
VST,0.227838,0.436009,Somewhat-Bullish
VUZI,0.044562,0.024322,Neutral
WMT,0.27773950000000003,0.2373425,Somewhat-Bullish
