topic,average_relevance_score,overall_sentiment_label
Earnings,0.664137120300752,Bullish
Technology,0.5555555022831051,Bullish
Manufacturing,0.38288280405405406,Bullish
Financial Markets,0.6391807142857144,Bullish
Economy - Monetary,0.4810851538461538,Bullish
Finance,0.3110327323943662,Bullish
Economy - Fiscal,0.28679184210526315,Bullish
Economy - Macro,0.158519,Bullish
Energy & Transportation,0.25,Bullish
Retail & Wholesale,0.27020206060606056,Bullish
Life Sciences,0.166667,Bullish
Real Estate & Construction,0.166667,Bullish
